	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
KMT2A	53.0	26.0	14.0	55.0	9.0	22.0	5.0	5.0	13.0	35.0	29.0	9.0	6.0	43.0	8.0	132.0	43.0	24.0	10.0	39.0	8.0	22.0	5.0	5.0	13.0	31.0	26.0	6.0	3.0	40.0	7.0	69.0
AKAP9	51.0	35.0	9.0	59.0	13.0	28.0	10.0	3.0	5.0	28.0	31.0	9.0	13.0	54.0	0.0	186.0	42.0	28.0	6.0	42.0	9.0	28.0	9.0	3.0	5.0	27.0	29.0	7.0	9.0	43.0	0.0	80.0
ADGRV1	49.0	40.0	37.0	96.0	15.0	37.0	12.0	9.0	25.0	52.0	74.0	9.0	33.0	70.0	2.0	224.0	42.0	34.0	28.0	65.0	14.0	33.0	11.0	9.0	23.0	45.0	68.0	8.0	11.0	56.0	2.0	86.0
FAT3	49.0	43.0	18.0	105.0	24.0	54.0	8.0	3.0	22.0	150.0	87.0	14.0	30.0	90.0	2.0	281.0	42.0	39.0	15.0	65.0	19.0	42.0	8.0	3.0	21.0	105.0	74.0	12.0	19.0	71.0	2.0	94.0
LRP1B	48.0	32.0	41.0	129.0	36.0	100.0	12.0	6.0	31.0	309.0	234.0	22.0	51.0	163.0	1.0	316.0	42.0	28.0	33.0	76.0	27.0	78.0	11.0	6.0	31.0	185.0	161.0	20.0	23.0	115.0	1.0	96.0
MUC17	52.0	48.0	34.0	50.0	13.0	48.0	14.0	7.0	19.0	129.0	96.0	16.0	14.0	60.0	2.0	235.0	41.0	43.0	28.0	42.0	12.0	38.0	13.0	7.0	17.0	96.0	80.0	14.0	8.0	48.0	2.0	82.0
FAT1	51.0	29.0	25.0	69.0	6.0	137.0	9.0	15.0	11.0	60.0	73.0	2.0	22.0	53.0	0.0	253.0	41.0	28.0	22.0	44.0	6.0	108.0	9.0	14.0	10.0	51.0	62.0	2.0	9.0	37.0	0.0	103.0
CDKN1A	47.0	2.0	4.0	3.0	2.0	0.0	1.0	0.0	8.0	1.0	3.0	1.0	1.0	3.0	1.0	9.0	41.0	2.0	4.0	3.0	2.0	0.0	1.0	0.0	6.0	1.0	3.0	1.0	1.0	3.0	1.0	9.0
AHNAK2	45.0	18.0	25.0	70.0	10.0	42.0	15.0	2.0	22.0	101.0	60.0	11.0	22.0	76.0	0.0	209.0	41.0	17.0	19.0	47.0	9.0	31.0	15.0	2.0	19.0	70.0	47.0	7.0	14.0	53.0	0.0	87.0
ANK2	44.0	30.0	21.0	72.0	5.0	30.0	10.0	6.0	10.0	132.0	70.0	13.0	25.0	49.0	2.0	164.0	40.0	25.0	17.0	52.0	5.0	29.0	10.0	6.0	10.0	106.0	64.0	8.0	10.0	44.0	2.0	73.0
