	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
MRPS35	3.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	2.0	6.0	2.0	1.0	0.0	3.0	0.0	14.0	3.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	2.0	6.0	2.0	1.0	0.0	3.0	0.0	12.0
MRPS7	3.0	2.0	1.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	7.0	3.0	2.0	1.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	7.0
MS4A12	3.0	1.0	1.0	3.0	0.0	3.0	2.0	1.0	1.0	8.0	7.0	0.0	0.0	2.0	0.0	15.0	3.0	1.0	1.0	3.0	0.0	3.0	2.0	1.0	1.0	8.0	6.0	0.0	0.0	2.0	0.0	14.0
MSANTD3	3.0	5.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0	7.0	0.0	15.0	3.0	4.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0	7.0	0.0	13.0
MSANTD4	3.0	2.0	1.0	5.0	1.0	3.0	1.0	1.0	3.0	2.0	7.0	1.0	3.0	13.0	1.0	28.0	3.0	2.0	1.0	5.0	1.0	3.0	1.0	1.0	3.0	2.0	7.0	1.0	2.0	13.0	1.0	25.0
MSGN1	3.0	2.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	10.0	2.0	1.0	2.0	3.0	0.0	7.0	3.0	2.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	9.0	2.0	1.0	1.0	3.0	0.0	7.0
MSL1	3.0	0.0	1.0	3.0	0.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	4.0	0.0	13.0	3.0	0.0	1.0	3.0	0.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	4.0	0.0	12.0
MSRB2	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	6.0	3.0	0.0	1.0	1.0	0.0	11.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	6.0	3.0	0.0	1.0	1.0	0.0	11.0
MSTO1	3.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	20.0	3.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	16.0
MTFR1	3.0	4.0	3.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	16.0	3.0	4.0	3.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	13.0
MTFR1L	3.0	1.0	0.0	6.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	6.0	3.0	1.0	0.0	6.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	6.0
MTIF3	3.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	0.0	14.0	3.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	0.0	13.0
MTMR10	3.0	2.0	4.0	6.0	1.0	4.0	3.0	0.0	0.0	4.0	3.0	0.0	4.0	4.0	0.0	45.0	3.0	2.0	3.0	6.0	1.0	3.0	3.0	0.0	0.0	4.0	3.0	0.0	3.0	4.0	0.0	32.0
MTSS1	3.0	8.0	2.0	9.0	3.0	4.0	3.0	2.0	4.0	6.0	8.0	1.0	2.0	11.0	0.0	46.0	3.0	8.0	2.0	9.0	3.0	4.0	3.0	2.0	4.0	6.0	8.0	1.0	2.0	10.0	0.0	35.0
MTURN	3.0	0.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
MUC15	3.0	2.0	1.0	5.0	5.0	2.0	0.0	1.0	1.0	6.0	3.0	1.0	2.0	8.0	0.0	27.0	3.0	2.0	1.0	5.0	5.0	2.0	0.0	1.0	1.0	6.0	3.0	1.0	2.0	8.0	0.0	25.0
MUTYH	3.0	3.0	1.0	5.0	1.0	3.0	2.0	2.0	1.0	3.0	8.0	1.0	4.0	7.0	0.0	19.0	3.0	3.0	1.0	4.0	1.0	3.0	2.0	2.0	1.0	3.0	6.0	1.0	4.0	7.0	0.0	17.0
MVB12A	3.0	3.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	2.0	0.0	9.0	3.0	3.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	2.0	0.0	9.0
MXD1	3.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	4.0	0.0	6.0	3.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	4.0	0.0	6.0
MYG1	3.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	0.0	5.0	0.0	11.0	3.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	4.0	0.0	10.0
MYL5	3.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	3.0	3.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	3.0
MYPOP	3.0	0.0	2.0	10.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	9.0	3.0	0.0	2.0	10.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	9.0
NAA10	3.0	3.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	12.0	3.0	3.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	12.0
NACA	3.0	1.0	1.0	3.0	1.0	4.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	10.0	3.0	1.0	1.0	3.0	1.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	8.0
NADK2	3.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	3.0	3.0	0.0	19.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	3.0	3.0	0.0	14.0
NAF1	3.0	3.0	7.0	6.0	0.0	4.0	2.0	0.0	1.0	4.0	6.0	1.0	5.0	1.0	0.0	13.0	3.0	3.0	6.0	5.0	0.0	4.0	2.0	0.0	1.0	4.0	6.0	1.0	5.0	1.0	0.0	12.0
NAP1L5	3.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	6.0	3.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	6.0
NAT1	3.0	2.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	3.0	4.0	0.0	0.0	2.0	0.0	14.0	3.0	2.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	3.0	4.0	0.0	0.0	2.0	0.0	12.0
NAT16	3.0	0.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	4.0	0.0	3.0	3.0	0.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	4.0	0.0	3.0
NAXD	3.0	3.0	3.0	8.0	0.0	1.0	0.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	0.0	16.0	3.0	3.0	3.0	7.0	0.0	1.0	0.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	0.0	15.0
NBPF15	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	0.0	3.0	3.0	0.0	9.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	0.0	3.0	3.0	0.0	7.0
NCDN	3.0	3.0	4.0	6.0	3.0	2.0	1.0	3.0	4.0	3.0	5.0	1.0	3.0	16.0	0.0	29.0	3.0	3.0	2.0	6.0	3.0	2.0	1.0	3.0	4.0	3.0	5.0	1.0	3.0	16.0	0.0	19.0
NCEH1	3.0	2.0	1.0	6.0	3.0	1.0	1.0	0.0	2.0	2.0	5.0	0.0	2.0	5.0	0.0	16.0	3.0	2.0	1.0	6.0	3.0	1.0	1.0	0.0	2.0	2.0	5.0	0.0	2.0	5.0	0.0	16.0
NCF4	3.0	1.0	2.0	5.0	0.0	2.0	0.0	1.0	2.0	5.0	2.0	2.0	2.0	3.0	0.0	18.0	3.0	1.0	2.0	5.0	0.0	2.0	0.0	1.0	2.0	5.0	2.0	2.0	2.0	3.0	0.0	17.0
NCL	3.0	11.0	5.0	6.0	2.0	2.0	3.0	1.0	1.0	6.0	6.0	1.0	1.0	3.0	0.0	28.0	3.0	10.0	5.0	6.0	2.0	2.0	3.0	1.0	1.0	6.0	6.0	1.0	1.0	2.0	0.0	23.0
NCR1	3.0	4.0	3.0	1.0	0.0	5.0	0.0	0.0	1.0	10.0	11.0	1.0	2.0	2.0	1.0	16.0	3.0	4.0	3.0	1.0	0.0	5.0	0.0	0.0	1.0	10.0	11.0	1.0	2.0	2.0	1.0	16.0
NDEL1	3.0	0.0	5.0	3.0	1.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	3.0	1.0	0.0	12.0	3.0	0.0	5.0	3.0	1.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0	0.0	10.0
NDN	3.0	2.0	3.0	11.0	3.0	7.0	1.0	0.0	3.0	12.0	24.0	0.0	4.0	9.0	0.0	18.0	3.0	2.0	3.0	11.0	3.0	5.0	1.0	0.0	3.0	12.0	22.0	0.0	4.0	9.0	0.0	17.0
NDRG2	3.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	6.0	1.0	0.0	2.0	2.0	0.0	8.0	3.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	6.0	1.0	0.0	2.0	2.0	0.0	7.0
NDRG4	3.0	2.0	2.0	3.0	0.0	1.0	0.0	1.0	2.0	5.0	0.0	0.0	1.0	4.0	1.0	12.0	3.0	2.0	2.0	3.0	0.0	1.0	0.0	1.0	2.0	5.0	0.0	0.0	1.0	4.0	1.0	12.0
NDUFA8	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	1.0	4.0	0.0	12.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	1.0	4.0	0.0	12.0
NDUFAF1	3.0	4.0	0.0	5.0	1.0	2.0	1.0	0.0	1.0	3.0	2.0	1.0	0.0	3.0	0.0	15.0	3.0	4.0	0.0	5.0	1.0	2.0	1.0	0.0	1.0	3.0	2.0	1.0	0.0	3.0	0.0	15.0
NDUFAF2	3.0	1.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0	3.0	1.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0
NDUFB4	3.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
NDUFB5	3.0	2.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0	6.0	3.0	0.0	0.0	2.0	0.0	7.0	3.0	2.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0	6.0	3.0	0.0	0.0	2.0	0.0	7.0
NDUFS2	3.0	7.0	2.0	5.0	1.0	2.0	1.0	0.0	2.0	4.0	0.0	2.0	4.0	5.0	0.0	26.0	3.0	6.0	2.0	5.0	1.0	2.0	1.0	0.0	2.0	4.0	0.0	2.0	3.0	5.0	0.0	24.0
NDUFS4	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0	3.0	0.0	10.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0	3.0	0.0	10.0
NDUFV1	3.0	3.0	3.0	5.0	0.0	3.0	0.0	1.0	0.0	2.0	6.0	1.0	1.0	4.0	0.0	14.0	3.0	3.0	3.0	5.0	0.0	3.0	0.0	1.0	0.0	2.0	6.0	1.0	1.0	4.0	0.0	13.0
NECAB1	3.0	7.0	3.0	7.0	5.0	4.0	1.0	0.0	0.0	4.0	3.0	0.0	2.0	4.0	0.0	19.0	3.0	7.0	3.0	7.0	5.0	4.0	1.0	0.0	0.0	4.0	3.0	0.0	1.0	4.0	0.0	16.0
NECAP1	3.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	2.0	3.0	0.0	0.0	6.0	0.0	8.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	2.0	3.0	0.0	0.0	6.0	0.0	7.0
NECTIN4	3.0	3.0	1.0	6.0	0.0	3.0	0.0	0.0	0.0	7.0	14.0	1.0	2.0	10.0	0.0	21.0	3.0	2.0	1.0	4.0	0.0	3.0	0.0	0.0	0.0	7.0	14.0	1.0	2.0	9.0	0.0	20.0
NEK8	3.0	8.0	6.0	11.0	0.0	4.0	0.0	1.0	1.0	4.0	6.0	1.0	3.0	13.0	2.0	28.0	3.0	8.0	6.0	11.0	0.0	4.0	0.0	1.0	1.0	4.0	6.0	1.0	3.0	11.0	2.0	20.0
NEU2	3.0	1.0	2.0	6.0	0.0	2.0	0.0	0.0	5.0	7.0	8.0	2.0	1.0	7.0	0.0	18.0	3.0	1.0	1.0	5.0	0.0	2.0	0.0	0.0	5.0	7.0	8.0	2.0	1.0	7.0	0.0	18.0
NEU4	3.0	1.0	1.0	4.0	3.0	2.0	0.0	0.0	1.0	12.0	9.0	3.0	3.0	2.0	0.0	4.0	3.0	1.0	1.0	4.0	3.0	2.0	0.0	0.0	1.0	12.0	9.0	3.0	3.0	2.0	0.0	4.0
NEUROD2	3.0	2.0	0.0	7.0	0.0	0.0	2.0	1.0	0.0	3.0	2.0	1.0	0.0	5.0	0.0	5.0	3.0	2.0	0.0	7.0	0.0	0.0	2.0	1.0	0.0	3.0	2.0	1.0	0.0	5.0	0.0	5.0
NEXN	3.0	8.0	0.0	17.0	3.0	5.0	1.0	1.0	1.0	3.0	6.0	0.0	6.0	9.0	0.0	47.0	3.0	5.0	0.0	15.0	3.0	5.0	1.0	1.0	1.0	3.0	6.0	0.0	4.0	9.0	0.0	35.0
NFATC2IP	3.0	1.0	0.0	4.0	1.0	3.0	0.0	0.0	1.0	3.0	6.0	1.0	1.0	5.0	0.0	9.0	3.0	1.0	0.0	4.0	1.0	3.0	0.0	0.0	1.0	3.0	6.0	1.0	1.0	5.0	0.0	9.0
NFKB1	3.0	5.0	1.0	8.0	2.0	4.0	0.0	0.0	2.0	7.0	9.0	2.0	8.0	6.0	0.0	45.0	3.0	5.0	1.0	8.0	2.0	4.0	0.0	0.0	2.0	7.0	9.0	1.0	5.0	5.0	0.0	34.0
NFKBIE	3.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	1.0	0.0	10.0	3.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	1.0	0.0	9.0
NHLRC3	3.0	0.0	4.0	11.0	2.0	3.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	3.0	0.0	22.0	3.0	0.0	4.0	11.0	2.0	3.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	3.0	0.0	19.0
NHLRC4	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	0.0	6.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	5.0
NIPAL1	3.0	3.0	3.0	4.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	12.0	3.0	3.0	3.0	4.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	10.0
NKAIN4	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	0.0	5.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	0.0	5.0
NKD1	3.0	3.0	1.0	6.0	1.0	7.0	1.0	3.0	1.0	4.0	7.0	0.0	1.0	11.0	0.0	8.0	3.0	3.0	1.0	6.0	1.0	7.0	1.0	3.0	1.0	4.0	7.0	0.0	1.0	10.0	0.0	8.0
NKIRAS2	3.0	1.0	1.0	3.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	3.0	0.0	8.0	3.0	1.0	1.0	3.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	3.0	0.0	8.0
NKX2-1	3.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	1.0	5.0	3.0	0.0	0.0	3.0	2.0	4.0	3.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	1.0	5.0	3.0	0.0	0.0	3.0	2.0	3.0
NLRC3	3.0	7.0	5.0	15.0	2.0	6.0	2.0	3.0	5.0	7.0	12.0	2.0	4.0	12.0	0.0	28.0	3.0	7.0	5.0	14.0	2.0	6.0	1.0	3.0	5.0	7.0	12.0	1.0	4.0	12.0	0.0	21.0
NME5	3.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	3.0	0.0	10.0	3.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	3.0	0.0	9.0
NME7	3.0	5.0	1.0	4.0	1.0	4.0	0.0	1.0	1.0	4.0	7.0	1.0	3.0	2.0	0.0	15.0	3.0	5.0	1.0	4.0	1.0	4.0	0.0	1.0	1.0	4.0	6.0	1.0	2.0	2.0	0.0	12.0
NME8	3.0	4.0	5.0	9.0	8.0	12.0	2.0	2.0	1.0	19.0	10.0	1.0	6.0	12.0	0.0	45.0	3.0	4.0	5.0	8.0	8.0	11.0	2.0	2.0	1.0	18.0	10.0	1.0	5.0	12.0	0.0	31.0
NMU	3.0	2.0	3.0	4.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	1.0	0.0	4.0	3.0	2.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	1.0	0.0	4.0
NNMT	3.0	0.0	2.0	4.0	1.0	3.0	0.0	0.0	0.0	7.0	2.0	1.0	2.0	3.0	0.0	16.0	3.0	0.0	2.0	4.0	1.0	3.0	0.0	0.0	0.0	6.0	2.0	1.0	1.0	3.0	0.0	14.0
NOBOX	3.0	7.0	4.0	15.0	3.0	3.0	1.0	1.0	2.0	18.0	7.0	0.0	1.0	15.0	1.0	33.0	3.0	6.0	3.0	13.0	3.0	3.0	1.0	1.0	2.0	18.0	6.0	0.0	1.0	13.0	1.0	29.0
NOG	3.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	5.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	5.0
NOLC1	3.0	2.0	2.0	10.0	5.0	7.0	0.0	2.0	1.0	5.0	4.0	0.0	0.0	13.0	0.0	27.0	3.0	2.0	2.0	9.0	5.0	7.0	0.0	2.0	1.0	5.0	4.0	0.0	0.0	13.0	0.0	21.0
NOX1	3.0	4.0	6.0	5.0	1.0	5.0	3.0	0.0	4.0	8.0	4.0	0.0	1.0	4.0	0.0	34.0	3.0	4.0	6.0	5.0	1.0	5.0	3.0	0.0	4.0	8.0	4.0	0.0	1.0	4.0	0.0	29.0
NPEPL1	3.0	2.0	2.0	6.0	3.0	1.0	0.0	1.0	1.0	2.0	4.0	1.0	1.0	8.0	0.0	28.0	3.0	2.0	2.0	6.0	3.0	1.0	0.0	1.0	1.0	2.0	4.0	1.0	1.0	8.0	0.0	26.0
NPLOC4	3.0	3.0	4.0	6.0	1.0	5.0	1.0	0.0	3.0	7.0	6.0	2.0	2.0	4.0	0.0	24.0	3.0	3.0	3.0	6.0	1.0	4.0	1.0	0.0	3.0	7.0	6.0	2.0	2.0	4.0	0.0	19.0
NPM3	3.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	5.0	3.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	5.0
NPNT	3.0	2.0	1.0	8.0	1.0	0.0	7.0	0.0	1.0	9.0	6.0	1.0	0.0	8.0	0.0	16.0	3.0	2.0	1.0	7.0	1.0	0.0	7.0	0.0	1.0	9.0	6.0	1.0	0.0	6.0	0.0	15.0
NPRL2	3.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	2.0	0.0	0.0	4.0	1.0	16.0	3.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	4.0	1.0	13.0
NPRL3	3.0	1.0	1.0	7.0	0.0	2.0	1.0	0.0	1.0	3.0	2.0	0.0	1.0	5.0	0.0	18.0	3.0	1.0	1.0	7.0	0.0	2.0	1.0	0.0	1.0	3.0	2.0	0.0	1.0	5.0	0.0	15.0
NPS	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	5.0	1.0	2.0	2.0	0.0	11.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	5.0	1.0	1.0	2.0	0.0	11.0
NPSR1	3.0	3.0	2.0	8.0	0.0	4.0	0.0	0.0	4.0	11.0	8.0	0.0	2.0	8.0	1.0	23.0	3.0	3.0	2.0	8.0	0.0	4.0	0.0	0.0	4.0	11.0	8.0	0.0	2.0	7.0	1.0	20.0
NPTX1	3.0	2.0	4.0	3.0	1.0	2.0	1.0	2.0	2.0	3.0	5.0	1.0	2.0	3.0	0.0	7.0	3.0	2.0	4.0	3.0	1.0	2.0	1.0	2.0	2.0	3.0	5.0	1.0	2.0	3.0	0.0	7.0
NR1D1	3.0	4.0	3.0	10.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	1.0	13.0	0.0	17.0	3.0	4.0	3.0	9.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	1.0	13.0	0.0	17.0
NR1H3	3.0	1.0	0.0	12.0	0.0	2.0	1.0	0.0	4.0	5.0	5.0	1.0	0.0	6.0	0.0	23.0	3.0	1.0	0.0	10.0	0.0	2.0	1.0	0.0	4.0	5.0	5.0	1.0	0.0	6.0	0.0	19.0
NRBF2	3.0	0.0	1.0	5.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	13.0	3.0	0.0	1.0	5.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	11.0
NRIP2	3.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	3.0	5.0	1.0	0.0	1.0	0.0	14.0	3.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	3.0	5.0	1.0	0.0	1.0	0.0	12.0
NRM	3.0	0.0	2.0	3.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	7.0	3.0	0.0	1.0	3.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	5.0
NRROS	3.0	4.0	3.0	13.0	1.0	6.0	5.0	0.0	4.0	7.0	11.0	1.0	2.0	12.0	0.0	27.0	3.0	4.0	3.0	12.0	1.0	6.0	4.0	0.0	4.0	7.0	9.0	1.0	2.0	11.0	0.0	24.0
NSDHL	3.0	5.0	4.0	5.0	0.0	2.0	0.0	0.0	1.0	6.0	6.0	0.0	0.0	3.0	0.0	23.0	3.0	5.0	4.0	4.0	0.0	2.0	0.0	0.0	1.0	6.0	5.0	0.0	0.0	3.0	0.0	21.0
NSG2	3.0	2.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	6.0	4.0	0.0	1.0	5.0	0.0	5.0	3.0	2.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	4.0	4.0	0.0	1.0	5.0	0.0	4.0
NSRP1	3.0	3.0	2.0	9.0	0.0	3.0	0.0	0.0	3.0	5.0	2.0	0.0	0.0	10.0	0.0	22.0	3.0	2.0	2.0	9.0	0.0	3.0	0.0	0.0	3.0	5.0	2.0	0.0	0.0	10.0	0.0	20.0
NT5C3A	3.0	2.0	0.0	6.0	0.0	3.0	1.0	0.0	2.0	1.0	5.0	1.0	1.0	2.0	0.0	14.0	3.0	2.0	0.0	6.0	0.0	3.0	1.0	0.0	2.0	1.0	5.0	1.0	1.0	2.0	0.0	12.0
NT5C3B	3.0	2.0	0.0	6.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	10.0	3.0	2.0	0.0	6.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	10.0
NT5DC3	3.0	6.0	1.0	8.0	1.0	2.0	4.0	1.0	1.0	4.0	12.0	2.0	2.0	3.0	0.0	17.0	3.0	6.0	1.0	8.0	1.0	2.0	4.0	1.0	1.0	4.0	11.0	2.0	2.0	3.0	0.0	16.0
NTHL1	3.0	2.0	1.0	5.0	1.0	1.0	1.0	0.0	1.0	6.0	2.0	1.0	0.0	6.0	0.0	9.0	3.0	2.0	1.0	5.0	1.0	1.0	1.0	0.0	1.0	6.0	2.0	1.0	0.0	6.0	0.0	9.0
NTN4	3.0	4.0	8.0	12.0	2.0	2.0	2.0	0.0	3.0	6.0	3.0	0.0	4.0	4.0	0.0	21.0	3.0	3.0	6.0	12.0	1.0	2.0	2.0	0.0	2.0	6.0	3.0	0.0	4.0	4.0	0.0	16.0
NUDT5	3.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	10.0	3.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	10.0
NUF2	3.0	3.0	2.0	13.0	1.0	2.0	0.0	1.0	3.0	14.0	6.0	0.0	4.0	5.0	0.0	24.0	3.0	3.0	2.0	10.0	1.0	2.0	0.0	1.0	3.0	14.0	6.0	0.0	1.0	5.0	0.0	19.0
NUGGC	3.0	3.0	5.0	32.0	1.0	1.0	0.0	5.0	2.0	7.0	4.0	1.0	5.0	11.0	0.0	38.0	3.0	3.0	5.0	29.0	1.0	1.0	0.0	4.0	2.0	5.0	4.0	1.0	4.0	11.0	0.0	30.0
